"","r_mf_9a_6p","r_mf_6p_10","r_sa_9a_6p","r_sa_6p_10","r_su_9a_6p","r_su_6p_10","t_mf_9a_6p","t_mf_6p_10","t_sa_9a_6p","t_sa_6p_10","t_su_9a_6p","t_su_6p_10","credit_card","longitude","latitude","geo_local_area","avg_rate","avg_time","rate_level","time_level"
"39",2,1,2,1,2,1,2,4,2,4,2,4,"No",-123.113139274933,49.2630772634608,"Mount Pleasant",1.5,3,"very low","very low"
"40",3,3,3,3,3,3,2,4,2,4,2,4,"No",-123.117408862244,49.2792169314939,"Downtown",3,3,"low","very low"
"41",3,3,3,3,3,3,2,4,2,4,2,4,"No",-123.117766215382,49.2789818295641,"Downtown",3,3,"low","very low"
"42",3,3,3,3,3,3,2,4,2,4,2,4,"No",-123.11800715355,49.2788215414654,"Downtown",3,3,"low","very low"
"43",1,1,1,1,1,1,2,4,2,4,2,4,"No",-123.121441501658,49.2776381027827,"Downtown",1,3,"very low","very low"
"44",1,1,1,1,1,1,2,4,2,4,2,4,"No",-123.101514842456,49.2592504082995,"Mount Pleasant",1,3,"very low","very low"
"45",1,1,1,1,1,1,2,4,2,4,2,4,"No",-123.121924713328,49.2773170954788,"Downtown",1,3,"very low","very low"
"46",2,1,2,1,2,1,2,4,2,4,2,4,"No",-123.113971467281,49.2633005161715,"Mount Pleasant",1.5,3,"very low","very low"
"47",1,1,1,1,1,1,2,4,2,4,2,4,"No",-123.122192491347,49.277328146549,"Downtown",1,3,"very low","very low"
"48",1,1,1,1,1,1,2,4,2,4,2,4,"No",-123.152908875022,49.2615864132818,"Kitsilano",1,3,"very low","very low"
"49",2,1,2,1,2,1,2,4,2,4,2,4,"No",-123.138161655368,49.2645584578478,"Fairview",1.5,3,"very low","very low"
"50",1,1,1,1,1,1,2,4,2,4,2,4,"No",-123.101489793008,49.2593599829991,"Mount Pleasant",1,3,"very low","very low"
"51",1,1,1,1,1,1,2,4,2,4,2,4,"No",-123.107749394031,49.2779803478786,"Downtown",1,3,"very low","very low"
"52",1,1,1,1,1,1,2,4,2,4,2,4,"No",-123.107762177809,49.277663705487,"Downtown",1,3,"very low","very low"
"53",1,1,1,1,1,1,2,4,2,4,2,4,"No",-123.107762177809,49.277663705487,"Downtown",1,3,"very low","very low"
"54",1,1,1,1,1,1,2,4,2,4,2,4,"No",-123.101877283565,49.2592570155942,"Mount Pleasant",1,3,"very low","very low"
"55",1,1,1,1,1,1,2,4,2,4,2,4,"No",-123.100694253158,49.2593596356256,"Mount Pleasant",1,3,"very low","very low"
"56",1,3,1,3,1,3,3,4,3,4,3,4,"No",-123.123990124298,49.2772284359249,"Downtown",2,3.5,"low","very low"
"57",1,1,1,1,1,1,2,4,2,4,2,4,"No",-123.101827921568,49.2593660091233,"Mount Pleasant",1,3,"very low","very low"
"58",2,4,2,4,2,4,2,4,2,4,2,4,"Yes",-123.125096184399,49.2845072946981,"West End",3,3,"low","very low"
"59",1,3,1,3,1,3,3,4,3,4,3,4,"No",-123.124480675208,49.2769037220019,"Downtown",2,3.5,"low","very low"
"60",1,1,1,1,1,1,3,4,3,4,3,4,"No",-123.145849934359,49.2647565999487,"Kitsilano",1,3.5,"very low","very low"
"61",1,1,1,1,1,1,2,4,2,4,2,4,"No",-123.187237493668,49.2634235450695,"West Point Grey",1,3,"very low","very low"
"62",1,1,1,1,1,1,2,4,2,4,2,4,"No",-123.187069125732,49.2634207414313,"West Point Grey",1,3,"very low","very low"
"63",1,1,1,1,1,1,2,4,2,4,2,4,"No",-123.186727773531,49.2634156086304,"West Point Grey",1,3,"very low","very low"
"64",2,1,2,1,2,1,2,4,2,4,2,4,"No",-123.104660667088,49.2658658973883,"Mount Pleasant",1.5,3,"very low","very low"
"65",1,1,1,1,1,1,2,4,2,4,2,4,"No",-123.098137865526,49.2813988038438,"Strathcona",1,3,"very low","very low"
"66",7,6,7,6,7,6,2,4,2,4,2,4,"No",-123.117417297313,49.2869973543579,"Downtown",6.5,3,"high","very low"
"67",0.5,0.5,0.5,0.5,0.5,0.5,24,24,24,24,24,24,"No",-123.131941377303,49.2907045495182,"West End",0.5,24,"very low","very high"
"68",8,3,8,3,8,3,2,4,2,4,2,4,"Yes",-123.115211550003,49.2860773807218,"Downtown",5.5,3,"moderate","very low"
"69",2,1,2,1,2,1,3,4,3,4,3,4,"No",-123.125419826963,49.2737170783968,"Downtown",1.5,3.5,"very low","very low"
"70",2,1,2,1,2,1,3,4,3,4,3,4,"No",-123.125657573884,49.2734460108622,"Downtown",1.5,3.5,"very low","very low"
"71",7,2,7,2,7,2,2,4,2,4,2,4,"No",-123.121731543693,49.2636888037623,"Fairview",4.5,3,"moderate","very low"
"72",7,4,7,4,7,4,3,4,3,4,3,4,"Yes",-123.117021042419,49.2879666169893,"Downtown",5.5,3.5,"moderate","very low"
"73",8,7,8,7,8,7,2,4,2,4,2,4,"Yes",-123.11867747555,49.2875407155211,"Downtown",7.5,3,"high","very low"
"74",1,1.5,1,1.5,1,1.5,24,24,24,24,24,24,"No",-123.10477875805,49.2791939392989,"Downtown",1.25,24,"very low","very high"
"75",1,1,1,1,1,1,2,4,2,4,2,4,"No",-123.125232945336,49.2818301101437,"West End",1,3,"very low","very low"
"76",1,1,1,1,1,1,2,4,2,4,2,4,"No",-123.125337815523,49.2817601039035,"West End",1,3,"very low","very low"
"77",3,1,3,1,3,1,2,4,2,4,2,4,"No",-123.152914939042,49.2336153580306,"Kerrisdale",2,3,"low","very low"
"78",8,3,8,3,8,3,2,4,2,4,2,4,"Yes",-123.115441486497,49.286222270335,"Downtown",5.5,3,"moderate","very low"
"79",1,1,1,1,1,1,2,4,2,4,2,4,"No",-123.09902038481,49.2831173080322,"Strathcona",1,3,"very low","very low"
"80",1,1,1,1,1,1,2,4,2,4,2,4,"No",-123.098837584751,49.2831138124929,"Strathcona",1,3,"very low","very low"
"81",1,1,1,1,1,1,2,4,2,4,2,4,"No",-123.098400275846,49.2831056133136,"Strathcona",1,3,"very low","very low"
"82",1,1,1,1,1,1,2,4,2,4,2,4,"No",-123.098218081552,49.2831024580951,"Strathcona",1,3,"very low","very low"
"83",1,1,1,1,1,1,2,4,2,4,2,4,"No",-123.098031995616,49.2830990990019,"Strathcona",1,3,"very low","very low"
"84",1,1,1,1,1,1,2,4,2,4,2,4,"No",-123.09832091325,49.2832314244205,"Strathcona",1,3,"very low","very low"
"85",8,5,8,5,8,5,2,4,2,4,2,4,"Yes",-123.114677634453,49.2871934118868,"Downtown",6.5,3,"high","very low"
"86",2,1,2,1,2,1,3,4,3,4,3,3,"No",-123.133517661256,49.2757514151876,"Downtown",1.5,3.33333333333333,"very low","very low"
"87",2,1,2,1,2,1,3,4,3,4,3,3,"No",-123.133632961195,49.2758260768896,"Downtown",1.5,3.33333333333333,"very low","very low"
"88",2,1,2,1,2,1,3,4,3,4,3,4,"No",-123.13397555245,49.2762286915739,"Downtown",1.5,3.5,"very low","very low"
"89",4,1,4,1,4,1,2,4,2,4,2,4,"No",-123.115620155211,49.2621958857362,"Fairview",2.5,3,"low","very low"
"90",7,1,7,1,7,1,2,4,2,4,2,4,"Yes",-123.120661421544,49.2881189122946,"Downtown",4,3,"moderate","very low"
"91",7,1,7,1,7,1,2,4,2,4,2,4,"Yes",-123.120821465794,49.2881659966873,"Downtown",4,3,"moderate","very low"
"92",7,1,7,1,7,1,2,4,2,4,2,4,"Yes",-123.120821465794,49.2881659966873,"Downtown",4,3,"moderate","very low"
"93",3,3,3,3,3,3,2,4,2,4,2,4,"No",-123.119058861594,49.2804907778527,"Downtown",3,3,"low","very low"
"94",1,1,1,1,1,1,2,4,2,4,2,4,"No",-123.100845158696,49.2617419125058,"Mount Pleasant",1,3,"very low","very low"
"95",8,6,8,6,8,6,2,4,2,4,2,4,"No",-123.113571863631,49.2841112559096,"Downtown",7,3,"high","very low"
"96",5,4,5,4,5,4,2,4,2,4,2,4,"Yes",-123.114542101288,49.2834706783438,"Downtown",4.5,3,"moderate","very low"
"97",5,4,5,4,5,4,2,4,2,4,2,4,"Yes",-123.114542101288,49.2834706783438,"Downtown",4.5,3,"moderate","very low"
"98",1,1,1,1,1,1,2,4,2,4,2,4,"No",-123.097665629288,49.2820564815518,"Strathcona",1,3,"very low","very low"
"99",5,4,5,4,5,4,2,4,2,4,2,4,"Yes",-123.114659567394,49.2833929964487,"Downtown",4.5,3,"moderate","very low"
"100",3,1,3,1,3,1,3,4,3,4,3,4,"No",-123.129919644552,49.2918921509332,"Downtown",2,3.5,"low","very low"
"101",3,1,3,1,3,1,3,4,3,4,3,4,"No",-123.130109862681,49.2918636471311,"Downtown",2,3.5,"low","very low"
"102",4,1,4,1,4,1,2,4,2,4,2,4,"No",-123.115646766899,49.2778404755421,"Downtown",2.5,3,"low","very low"
"103",3,1,3,1,3,1,3,4,3,4,3,4,"No",-123.13004306263,49.2919718171954,"Downtown",2,3.5,"low","very low"
"104",1,1,1,1,1,1,3,4,3,4,3,4,"No",-123.122737501657,49.2780574202158,"Downtown",1,3.5,"very low","very low"
"105",5,4,5,4,5,4,2,4,2,4,2,4,"Yes",-123.114777293944,49.2833151252755,"Downtown",4.5,3,"moderate","very low"
"106",5,1,5,1,5,1,2,4,2,4,2,4,"No",-123.124925543096,49.2872728740269,"Downtown",3,3,"low","very low"
"107",2,1,2,1,2,1,2,4,2,4,2,4,"Yes",-123.108769009851,49.2701919510363,"Mount Pleasant",1.5,3,"very low","very low"
"108",5,1,5,1,5,1,2,4,2,4,2,4,"No",-123.12479764931,49.2873570271062,"Downtown",3,3,"low","very low"
"109",5,1,5,1,5,1,2,4,2,4,2,4,"No",-123.125011345952,49.287374381677,"Downtown",3,3,"low","very low"
"110",5,1,5,1,5,1,2,4,2,4,2,4,"No",-123.12450180593,49.2877176477429,"Downtown",3,3,"low","very low"
"111",1,1,1,1,1,1,10,10,10,10,10,10,"Yes",-123.093659827042,49.2668996760214,"Strathcona",1,10,"very low","moderate"
"112",1,1,1,1,1,1,10,10,10,10,10,10,"Yes",-123.092746653602,49.2668909946632,"Strathcona",1,10,"very low","moderate"
"113",5,1,5,1,5,1,2,4,2,4,2,4,"No",-123.124508428114,49.2875514548561,"Downtown",3,3,"low","very low"
"114",8,8,8,8,8,8,2,4,2,4,2,4,"No",-123.116000872891,49.288197364195,"Downtown",8,3,"very high","very low"
"115",5,4,5,4,5,4,2,4,2,4,2,4,"Yes",-123.115135305233,49.2830788706291,"Downtown",4.5,3,"moderate","very low"
"116",8,8,8,8,8,8,2,4,2,4,2,4,"Yes",-123.118589717461,49.2886253980289,"Downtown",8,3,"very high","very low"
"117",6,4,6,4,6,4,2,4,2,4,2,4,"Yes",-123.119797604874,49.2827752393951,"Downtown",5,3,"moderate","very low"
"118",1,1,1,1,1,1,2,4,2,4,2,4,"No",-123.125901428191,49.2813874505898,"West End",1,3,"very low","very low"
"119",7,2,7,2,7,2,2,4,2,4,2,4,"No",-123.121731543693,49.2636888037623,"Fairview",4.5,3,"moderate","very low"
"120",4,1,4,1,4,1,2,4,2,4,2,4,"No",-123.115764382515,49.277762630381,"Downtown",2.5,3,"low","very low"
"121",4,3,4,3,4,3,2,4,2,4,2,4,"No",-123.146522745437,49.2706179395948,"Kitsilano",3.5,3,"low","very low"
"122",4,3,4,3,4,3,2,4,2,4,2,4,"No",-123.147035379124,49.270626013727,"Kitsilano",3.5,3,"low","very low"
"123",1,2,1,2,1,2,3,4,3,4,3,4,"No",-123.125448463608,49.2767585724691,"Downtown",1.5,3.5,"very low","very low"
"124",1,1,1,1,1,1,2,4,2,4,2,4,"No",-123.09747647521,49.2805502727939,"Strathcona",1,3,"very low","very low"
"125",3,1,3,1,3,1,24,24,24,24,24,24,"No",-123.112769999205,49.2640531006281,"Mount Pleasant",2,24,"low","very high"
"126",1,1,1,1,1,1,2,4,2,4,2,4,"No",-123.155628897424,49.2357605289515,"Arbutus-Ridge",1,3,"very low","very low"
"127",3,2,3,2,3,2,2,4,2,4,2,4,"No",-123.119103610453,49.2793695903635,"Downtown",2.5,3,"low","very low"
"128",3,1,3,1,3,1,2,4,2,4,2,4,"No",-123.096927181394,49.2631099646638,"Mount Pleasant",2,3,"low","very low"
"129",3,1,3,1,3,1,2,4,2,4,2,4,"No",-123.097097927233,49.2630389570622,"Mount Pleasant",2,3,"low","very low"
"130",3,1,3,1,3,1,2,4,2,4,2,4,"No",-123.097097927233,49.2630389570622,"Mount Pleasant",2,3,"low","very low"
"131",3,1,3,1,3,1,2,4,2,4,2,4,"No",-123.096931246946,49.2630032691093,"Mount Pleasant",2,3,"low","very low"
"132",1,2,1,2,1,2,2,4,2,4,2,4,"No",-123.101220640584,49.2823790115559,"Downtown",1.5,3,"very low","very low"
"133",6,1,6,1,6,1,2,4,2,4,2,4,"No",-123.108770105033,49.2637867553627,"Mount Pleasant",3.5,3,"low","very low"
"134",1,2,1,2,1,2,2,4,2,4,2,4,"No",-123.101220640584,49.2823790115559,"Downtown",1.5,3,"very low","very low"
"135",6,1,6,1,6,1,2,4,2,4,2,4,"No",-123.109109845544,49.2637928576085,"Mount Pleasant",3.5,3,"low","very low"
"136",3,1,3,1,3,1,2,4,2,4,2,4,"No",-123.15896990119,49.2346983088971,"Arbutus-Ridge",2,3,"low","very low"
"137",1,1,1,1,1,1,3,4,3,4,3,4,"No",-123.146262889091,49.2671148184122,"Kitsilano",1,3.5,"very low","very low"
"138",2,1,2,1,2,1,2,4,2,4,2,4,"No",-123.110548663174,49.2656253242566,"Mount Pleasant",1.5,3,"very low","very low"
"139",1,1,1,1,1,1,2,4,2,4,2,4,"No",-123.097073837176,49.2823001468315,"Strathcona",1,3,"very low","very low"
"140",1,1,1,1,1,1,2,4,2,4,2,4,"No",-123.096909781078,49.282296551538,"Strathcona",1,3,"very low","very low"
"141",1,1,1,1,1,1,2,4,2,4,2,4,"No",-123.096744543666,49.2822935416871,"Strathcona",1,3,"very low","very low"
"142",1,1,1,1,1,1,2,4,2,4,2,4,"No",-123.095935419619,49.2822780789356,"Strathcona",1,3,"very low","very low"
"143",3,1,3,1,3,1,3,4,3,4,3,4,"No",-123.120273648026,49.2744550999927,"Downtown",2,3.5,"low","very low"
"144",3,1,3,1,3,1,3,4,3,4,3,4,"No",-123.120434530173,49.2744129248821,"Downtown",2,3.5,"low","very low"
"145",2,1,2,1,2,1,3,4,3,4,3,4,"No",-123.122084686008,49.2739787943582,"Downtown",1.5,3.5,"very low","very low"
"146",3,1,3,1,3,1,2,4,2,4,2,4,"No",-123.102847495362,49.2635471587003,"Mount Pleasant",2,3,"low","very low"
"147",3,1,3,1,3,1,2,4,2,4,2,4,"No",-123.102862347497,49.2632071356797,"Mount Pleasant",2,3,"low","very low"
"148",2,3,2,3,2,3,2,4,2,4,2,4,"No",-123.102478037566,49.2636719086659,"Mount Pleasant",2.5,3,"low","very low"
"149",2,1,2,1,2,1,3,4,3,4,3,4,"No",-123.122245563946,49.2739361669666,"Downtown",1.5,3.5,"very low","very low"
"150",2,1,2,1,2,1,3,4,3,4,3,4,"No",-123.12240506931,49.2738945302756,"Downtown",1.5,3.5,"very low","very low"
"151",2,1,2,1,2,1,3,4,3,4,3,4,"No",-123.12256443604,49.2738525337035,"Downtown",1.5,3.5,"very low","very low"
"152",2,1,2,1,2,1,3,4,3,4,3,4,"No",-123.122723940196,49.2738106267172,"Downtown",1.5,3.5,"very low","very low"
"153",2,1,2,1,2,1,3,4,3,4,3,4,"No",-123.123226671998,49.2736785819745,"Downtown",1.5,3.5,"very low","very low"
"154",3,1,3,1,3,1,2,4,2,4,2,4,"No",-123.102847495362,49.2635471587003,"Mount Pleasant",2,3,"low","very low"
"155",1,4,1,4,1,4,2,4,2,4,2,4,"No",-123.101309052962,49.2579365051565,"Mount Pleasant",2.5,3,"low","very low"
"156",1,4,1,4,1,4,2,4,2,4,2,4,"No",-123.101318331039,49.2577022616264,"Mount Pleasant",2.5,3,"low","very low"
"157",4,4,4,4,4,4,2,4,4,4,4,4,"Yes",-123.111214892523,49.2820319298293,"Downtown",4,3.66666666666667,"moderate","very low"
"158",4,4,4,4,4,4,2,4,4,4,4,4,"Yes",-123.111710599873,49.2817039552369,"Downtown",4,3.66666666666667,"moderate","very low"
"159",4,4,4,4,4,4,2,4,4,4,4,4,"Yes",-123.111830220614,49.2816243671334,"Downtown",4,3.66666666666667,"moderate","very low"
"160",4,4,4,4,4,4,2,4,4,4,4,4,"Yes",-123.112098518158,49.28144890808,"Downtown",4,3.66666666666667,"moderate","very low"
"161",4,4,4,4,4,4,2,4,4,4,4,4,"Yes",-123.112098518158,49.28144890808,"Downtown",4,3.66666666666667,"moderate","very low"
"162",4,4,4,4,4,4,2,4,4,4,4,4,"Yes",-123.112215468515,49.2813685575742,"Downtown",4,3.66666666666667,"moderate","very low"
"163",4,4,4,4,4,4,2,4,4,4,4,4,"Yes",-123.112336216809,49.2812897234418,"Downtown",4,3.66666666666667,"moderate","very low"
"164",1,1,1,1,1,1,2,4,2,4,2,4,"No",-123.15557739074,49.2371797610919,"Arbutus-Ridge",1,3,"very low","very low"
"165",1,1,1,1,1,1,3,4,3,4,3,4,"No",-123.03746262978,49.2350165544614,"Renfrew-Collingwood",1,3.5,"very low","very low"
"166",3,4,3,4,3,4,2,4,2,4,2,4,"No",-123.119011872819,49.2773907805073,"Downtown",3.5,3,"low","very low"
"167",1,1,1,1,1,1,2,4,2,4,2,4,"No",-123.139020535659,49.2853596946683,"West End",1,3,"very low","very low"
"168",1,2,1,2,1,2,2,4,2,4,2,4,"No",-123.100204422001,49.2823608454829,"Downtown",1.5,3,"very low","very low"
"169",1,2,1,2,1,2,2,4,2,4,2,4,"No",-123.101127297808,49.2822536375573,"Downtown",1.5,3,"very low","very low"
"170",1,2,1,2,1,2,2,4,2,4,2,4,"No",-123.100969042846,49.2822494852489,"Downtown",1.5,3,"very low","very low"
"171",1,4,1,4,1,4,2,4,2,4,2,4,"No",-123.101031700045,49.2579275729021,"Mount Pleasant",2.5,3,"low","very low"
"172",3,1,3,1,3,1,2,4,2,4,2,4,"No",-123.114260164563,49.2656906437825,"Mount Pleasant",2,3,"low","very low"
"173",0.5,2,0.5,2,0.5,2,24,24,24,24,24,24,"No",-123.101045666068,49.2576328774492,"Mount Pleasant",1.25,24,"very low","very high"
"174",1,1,1,1,1,1,3,4,3,4,3,4,"No",-123.036362824676,49.2345419747166,"Renfrew-Collingwood",1,3.5,"very low","very low"
"175",2,1,2,1,2,1,3,4,3,4,3,4,"No",-123.158640524135,49.2681429198289,"Kitsilano",1.5,3.5,"very low","very low"
"176",3,3,3,3,3,3,2,4,2,4,2,4,"No",-123.127501469309,49.2758316560767,"Downtown",3,3,"low","very low"
"177",3,3,3,3,3,3,2,4,2,4,2,4,"No",-123.127130166078,49.2755922175004,"Downtown",3,3,"low","very low"
"178",3,3,3,3,3,3,2,4,2,4,2,4,"No",-123.127130166078,49.2755922175004,"Downtown",3,3,"low","very low"
"179",3,2,3,2,3,2,3,4,3,4,3,4,"No",-123.035046514269,49.2333889745681,"Killarney",2.5,3.5,"low","very low"
"180",1,2,1,2,1,2,2,4,2,4,2,4,"No",-123.100797179281,49.2822471346355,"Downtown",1.5,3,"very low","very low"
"181",1,2,1,2,1,2,2,4,2,4,2,4,"No",-123.100625520769,49.2822441899064,"Downtown",1.5,3,"very low","very low"
"182",2,1,2,1,2,1,2,4,2,4,2,4,"No",-123.097999849662,49.2821909643196,"Strathcona",1.5,3,"very low","very low"
"183",6,5,6,5,6,5,2,4,2,4,2,4,"No",-123.106969495244,49.2827441551293,"Downtown",5.5,3,"moderate","very low"
"184",5,5,5,5,5,5,2,4,2,4,2,4,"No",-123.11567025201,49.2640889758814,"Fairview",5,3,"moderate","very low"
"185",2,1,2,1,2,1,2,4,2,4,2,4,"No",-123.127732401521,49.2909900986338,"Downtown",1.5,3,"very low","very low"
"186",3,1,3,1,3,1,3,4,3,4,3,4,"No",-123.108708964899,49.2683023234889,"Mount Pleasant",2,3.5,"low","very low"
"187",1,1,1,1,1,1,10,4,10,4,10,4,"Yes",-123.080000850051,49.2652944565884,"Strathcona",1,7,"very low","low"
"188",1,1,1,1,1,1,10,4,10,4,10,4,"Yes",-123.080638670258,49.2652986547273,"Strathcona",1,7,"very low","low"
"189",2,1,2,1,2,1,2,4,2,4,2,4,"No",-123.116767427173,49.2649394213446,"Fairview",1.5,3,"very low","very low"
"190",3,1,3,1,3,1,3,4,3,4,3,4,"No",-123.129210163489,49.2915590909318,"Downtown",2,3.5,"low","very low"
"191",1,1,1,1,1,1,2,4,2,4,2,4,"No",-123.101074696996,49.2673734474173,"Mount Pleasant",1,3,"very low","very low"
"192",4,4,4,4,4,4,2,4,2,4,2,4,"No",-123.124808683785,49.2831317575514,"West End",4,3,"moderate","very low"
"193",6,7,6,7,6,7,2,4,2,4,2,4,"Yes",-123.122803937729,49.2846090692214,"West End",6.5,3,"high","very low"
"194",6,7,6,7,6,7,2,4,2,4,2,4,"Yes",-123.123308597013,49.2849358841559,"West End",6.5,3,"high","very low"
"195",1,1,1,1,1,1,24,24,24,24,24,24,"No",-123.125357941195,49.288533330539,"Downtown",1,24,"very low","very high"
"196",4,4,4,4,4,4,2,4,2,4,2,4,"No",-123.125238087925,49.2835404925053,"West End",4,3,"moderate","very low"
"197",4,4,4,4,4,4,2,4,2,4,2,4,"No",-123.125238087925,49.2835404925053,"West End",4,3,"moderate","very low"
"198",1,1,1,1,1,1,10,10,10,10,10,10,"Yes",-123.097241170176,49.2721796412371,"Strathcona",1,10,"very low","moderate"
"199",1,1,1,1,1,1,10,10,10,10,10,10,"Yes",-123.096025807412,49.272276735316,"Strathcona",1,10,"very low","moderate"
"200",2,3,2,3,2,3,2,4,2,4,2,4,"No",-123.118844171358,49.2782671560253,"Downtown",2.5,3,"low","very low"
"201",1,1,1,1,1,1,10,10,10,10,10,10,"Yes",-123.09227760111,49.2716449448127,"Strathcona",1,10,"very low","moderate"
"202",1,1,1,1,1,1,10,10,10,10,10,10,"Yes",-123.091664060337,49.271538408367,"Strathcona",1,10,"very low","moderate"
"203",1,1,1,1,1,1,10,10,10,10,10,10,"Yes",-123.08618013973,49.2706172211866,"Strathcona",1,10,"very low","moderate"
"204",2,4,2,4,2,4,2,4,2,4,2,4,"Yes",-123.125374373394,49.2841509282152,"West End",3,3,"low","very low"
"205",2,4,2,4,2,4,2,4,2,4,2,4,"Yes",-123.125488364143,49.2840752630021,"West End",3,3,"low","very low"
